Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
AGST2,AGMA10,Agrostis maritima Lam.,,Graminoid
AGST2,AGALS,Agrostis alba L. var. stolonifera (L.) Sm.,,Graminoid
AGST2,,Agrostis stolonifera L.,creeping bentgrass,Graminoid
AGST2,AGPA17,Agrostis palustris Huds.,,Graminoid
AGST2,AGSTP,Agrostis stolonifera L. var. palustris (Huds.) Farw.,,Graminoid
AGST2,AGSTC,Agrostis stolonifera L. var. compacta Hartm.,,Graminoid
AGTR10,,Agrostis transcaspica Litv.,,Graminoid
AGVA,AGRO7,Agrostis rossiae auct. non Vasey,,Graminoid
AGVA,,Agrostis variabilis Rydb.,mountain bentgrass,Graminoid
AGVI9,,Agrostis vinealis Schreb.,brown bentgrass,Graminoid
AGVIV3,AGCAA2,Agrostis canina L. var. arida Schltdl.,,Graminoid
AGVIV3,,Agrostis vinealis Schreb. ssp. vinealis,brown bentgrass,Graminoid
AGVIV3,AGCAM3,Agrostis canina L. ssp. montana (Hartm.) Hartm.,,Graminoid
AGVIV3,AGCAM4,Agrostis canina L. var. montana Hartm.,,Graminoid
AGVIV3,AGST5,Agrostis stricta J.F. Gmel.,,Graminoid
AGVIV3,AGVIT,Agrostis vinealis Schreb. ssp. trinii (Turcz.) Tzvelev,,Graminoid
AGVIV3,AGTR4,Agrostis trinii Turcz.,,Graminoid
AICA,,Aira caryophyllea L.,silver hairgrass,Graminoid
AICAC2,,Aira caryophyllea L. var. caryophyllea,silver hairgrass,Graminoid
AICAC2,ASCA22,Aspris caryophyllea (L.) Nash,,Graminoid
AICAC3,,Aira caryophyllea L. var. cupaniana (Guss.) Fiori,silver hairgrass,Graminoid
AICAC3,AICU,Aira cupaniana Guss.,,Graminoid
AICAM2,AICAM,Aira caryophyllea L. ssp. multiculmis (Dumort.) Bonnier & Layens,,Graminoid
AICAM2,,Aira caryophyllea L. var. multiculmis (Dumort.) Mathieu,,Graminoid
AICAM2,AIMU,Aira multiculmis Dumort.,,Graminoid
AIEL4,,Aira elegans Willd. ex Kunth,annual silver hairgrass,Graminoid
AIEL4,AICAC,Aira caryophyllea L. var. capillaris (Host) Mutel,,Graminoid
AIEL4,AICA3,"Aira capillaris Host, non Savi",,Graminoid
AIEL4,AIEL2,Aira elegantissima Schur,,Graminoid
AIEL4,AIELA,Aira elegans Willd. ex Kunth ssp. ambigua (Arcang.) Holub,,Graminoid
AIEL4,ASCA23,Aspris capillaris (Host) Hitchc.,,Graminoid
AIPR,ASPR14,Aspris praecox (L.) Nash,,Graminoid
